CLASS,AvgCyclomatic,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,mutation
FinderFromDfltResource.java,1,0.0,39.0,0.0,2.0,0.0,10.0,0.0,4.0,0.0,3.0,1.0
FinderFromFile.java,2,48.0,39.0,0.0,2.0,6.0,15.0,0.0,4.0,0.0,3.0,0.666666667
FinderFromMethod.java,1,0.0,25.0,0.0,2.0,0.0,9.0,0.0,4.0,0.0,3.0,1.0
FinderFromResource.java,2,46.0,44.0,1.0,3.0,5.0,15.0,1.0,5.0,0.0,4.0,0.8
FinderSetProperties.java,1,7.0,25.0,3.0,1.0,1.0,9.0,2.0,3.0,0.0,3.0,0.666666667
FromAnnotationsRuleModule.java,2,14.0,242.0,9.0,23.0,4.0,55.0,10.0,15.0,1.0,8.0,0.84375
FromBinderRuleSet.java,2,2.0,116.0,1.0,11.0,1.0,27.0,2.0,10.0,1.0,5.0,0.472222222
FromXmlRulesModule.java,2,108.0,145.0,12.0,10.0,29.0,42.0,12.0,10.0,3.0,8.0,0.384615385
IncludeRule.java,3,70.0,103.0,6.0,12.0,15.0,26.0,6.0,6.0,0.0,3.0,0.65
InitializableRule.java,0,,,,,,,,,,,
LinkedRuleBuilder.java,1,121.0,320.0,13.0,19.0,12.0,41.0,16.0,21.0,3.0,18.0,0.6808510640000001
LoaderFromClass.java,1,51.0,69.0,2.0,2.0,4.0,20.0,2.0,4.0,0.0,4.0,0.666666667
LoaderFromStream.java,2,13.0,66.0,2.0,4.0,2.0,20.0,2.0,3.0,0.0,2.0,0.625
LoaderSetProperties.java,2,12.0,15.0,1.0,1.0,1.0,6.0,1.0,2.0,0.0,2.0,0.5
LogUtils.java,2,3.0,9.0,0.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0
MethodArgument.java,1,69.0,47.0,10.0,2.0,12.0,13.0,10.0,4.0,4.0,4.0,0.5
MultiVariableExpander.java,3,10.0,155.0,2.0,8.0,2.0,29.0,2.0,7.0,0.0,4.0,0.75
NameSpaceURIRulesBinder.java,1,10.0,42.0,0.0,0.0,4.0,12.0,2.0,6.0,2.0,6.0,0.6
NestedPropertiesBuilder.java,1,24.0,49.0,3.0,1.0,7.0,14.0,4.0,4.0,2.0,4.0,0.363636364
NodeCreateRule.java,2,19.0,109.0,1.0,11.0,5.0,28.0,3.0,9.0,2.0,4.0,0.72972973
NodeCreateRule.java,2,43.0,5.0,8.0,0.0,9.0,2.0,5.0,1.0,1.0,1.0,0.72972973
NodeCreateRuleProvider.java,1,24.0,27.0,2.0,2.0,6.0,8.0,3.0,3.0,1.0,3.0,0.625
ObjectCreate.java,0,,,,,,,,,,,
ObjectCreateBuilder.java,1,26.0,39.0,2.0,2.0,7.0,11.0,2.0,5.0,0.0,5.0,0.41666666700000005
ObjectCreateHandler.java,2,1.0,22.0,1.0,1.0,0.0,8.0,1.0,2.0,0.0,2.0,0.0
ObjectCreateRule.java,1,62.0,83.0,5.0,5.0,9.0,27.0,5.0,7.0,1.0,6.0,0.4
ObjectCreateRule.java,1,0.0,17.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,2.0,0.4
ObjectCreationFactory.java,0,,,,,,,,,,,
ObjectParamBuilder.java,1,4.0,35.0,1.0,1.0,1.0,10.0,1.0,4.0,0.0,4.0,0.5
ObjectParamRule.java,2,27.0,51.0,0.0,4.0,3.0,16.0,2.0,4.0,2.0,2.0,0.666666667
ObjectParamRule.java,2,13.0,44.0,3.0,3.0,3.0,14.0,3.0,2.0,0.0,2.0,0.666666667
ObjectParamRule.java,1,27.0,51.0,0.0,4.0,3.0,16.0,2.0,4.0,2.0,2.0,0.666666667
ObjectParamRule.java,1,13.0,44.0,3.0,3.0,3.0,14.0,3.0,2.0,0.0,2.0,0.666666667
PathCallParam.java,0,,,,,,,,,,,
PathCallParamBuilder.java,1,27.0,0.0,2.0,0.0,8.0,0.0,4.0,0.0,3.0,0.0,0.0
PathCallParamHandler.java,1,16.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,2.0,0.0,
PathCallParamRule.java,1,11.0,25.0,1.0,1.0,1.0,9.0,2.0,2.0,1.0,2.0,0.5
PatternRule.java,1,0.0,42.0,0.0,4.0,0.0,14.0,0.0,7.0,0.0,5.0,1.0
PatternRuleMatcher.java,2,129.0,0.0,22.0,0.0,34.0,0.0,19.0,0.0,8.0,0.0,0.0
PatternStack.java,4,0.0,37.0,0.0,6.0,0.0,9.0,0.0,5.0,0.0,2.0,1.0
PluginAssertionFailure.java,1,13.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,3.0,0.0,
PluginConfigurationException.java,1,13.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,3.0,0.0,
PluginContext.java,1,4.0,121.0,0.0,2.0,2.0,29.0,1.0,10.0,1.0,9.0,0.666666667
PluginCreateRule.java,4,349.0,447.0,25.0,49.0,49.0,121.0,26.0,24.0,2.0,11.0,0.622641509
PluginCreateRuleBuilder.java,2,186.0,0.0,20.0,0.0,45.0,0.0,20.0,0.0,10.0,0.0,0.0
