CLASS,AvgCyclomatic,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,mutation,,STATEMENTCoverage,BRANCHCoverage
CategoryPlot.java,2,1839,4126,322,464,405,1146,263,352,45,177,0.36629667,,,
CategoryPointerAnnotation.java,1,263,303,4,20,57,83,12,23,9,14,0.224137931,,,
CategoryRangeInfo.java,0,,,,,,,,,,,,,,
CategorySeriesHandler.java,1,114,0,8,0,30,0,9,0,5,0,0,,,
CategorySeriesLabelGenerator.java,0,,,,,,,,,,,,,,
CategoryStepRenderer.java,2,292,122,32,10,64,34,25,5,5,4,0.194029851,,,
CategoryTableXYDataset.java,1,68,159,6,6,19,44,14,19,10,17,0.531914894,,,
CategoryTextAnnotation.java,1,96,129,6,10,23,39,5,14,1,10,0.405405405,,,
CategoryTick.java,1,5,91,2,10,2,23,3,9,1,5,0.590909091,,,
CategoryToPieDataset.java,3,62,224,23,35,18,61,19,22,1,11,0.62962963,,,
CategoryToolTipGenerator.java,0,,,,,,,,,,,,,,
CategoryURLGenerator.java,0,,,,,,,,,,,,,,
CenterArrangement.java,2,255,53,34,2,58,13,27,4,9,4,0.090909091,,,
CenterTextMode.java,1,0,34,0,0,0,4,0,1,0,1,,,,
ChartChangeEvent.java,1,12,30,0,0,4,12,3,4,3,4,0,,,
ChartChangeEventType.java,1,0,34,0,0,0,4,0,1,0,1,,,,
ChartChangeListener.java,0,,,,,,,,,,,,,,
ChartColor.java,1,6,338,0,0,2,25,1,2,1,2,1,,,
ChartEditor.java,0,,,,,,,,,,,,,,
ChartEditorFactory.java,0,,,,,,,,,,,,,,
ChartEditorManager.java,1,17,0,0,0,6,0,4,0,4,0,0,,,
ChartEntity.java,1,139,232,20,20,35,62,22,18,5,15,0.588235294,,,
ChartFactory.java,2,1393,1221,151,51,287,290,116,41,26,30,0.091623037,,,
ChartFrame.java,1,37,0,2,0,10,0,4,0,3,0,0,,,
ChartHints.java,1,11,0,0,0,2,0,1,0,1,0,0,,,
