CLASS,AvgCyclomatic,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,mutation,,STATEMENTCoverage,BRANCHCoverage
Minute.java,1,138,304,22,10,34,73,16,21,2,19,0.463768116,,,
ModuloAxis.java,2,460,96,38,8,84,23,35,5,13,4,0.048611111,,,
Month.java,2,79,387,17,35,18,102,17,32,1,22,0.797468354,,,
MonthConstants.java,0,,,,,,,,,,,,,,
MonthDateFormat.java,1,67,175,5,13,16,32,9,10,5,5,0.666666667,,,
MouseWheelHandler.java,2,105,13,14,0,33,5,11,1,4,1,0,,,
MovingAverage.java,5,310,115,39,15,70,29,28,6,6,1,0.229166667,,,
MultiValueCategoryDataset.java,0,,,,,,,,,,,,,,
MultiplePiePlot.java,2,365,416,50,34,85,123,37,30,6,19,0.369230769,,,
MultipleXYSeriesLabelGenerator.java,2,111,120,10,10,30,36,10,9,3,6,0.47826087,,,
NormalDistributionFunction2D.java,1,26,70,3,5,5,19,4,6,1,5,0.363636364,,,
NormalizedMatrixSeries.java,1,72,0,0,0,19,0,6,0,6,0,0,,,
NotOutlierException.java,1,4,0,0,0,2,0,1,0,1,0,,,,
NumberAxis.java,2,257,1155,43,105,61,279,45,68,6,33,0.326771654,,,
NumberCellRenderer.java,2,34,0,4,0,12,0,4,0,2,0,0,,,
NumberTick.java,1,3,25,0,0,1,6,1,2,1,2,0,,,
NumberTickUnit.java,1,17,75,2,8,2,24,3,9,1,6,0.529411765,,,
NumberTickUnitSource.java,3,39,322,16,46,13,85,16,27,0,12,0.353846154,,,
OHLC.java,1,4,94,2,10,2,28,2,11,0,7,0.833333333,,,
OHLCDataItem.java,1,26,103,7,9,10,25,10,7,3,6,0.583333333,,,
OHLCDataset.java,0,,,,,,,,,,,,,,
OHLCItem.java,1,11,51,4,4,5,15,5,6,1,6,0.642857143,,,
OHLCSeries.java,1,21,49,1,3,5,11,2,6,1,5,0.666666667,,,
OHLCSeriesCollection.java,1,178,179,10,16,38,51,24,17,17,11,0.339285714,,,
ObjectList.java,1,4,16,0,0,2,6,1,4,1,4,1,,,
ObjectUtils.java,2,10,52,2,10,2,20,2,8,0,4,0.928571429,,,
Outlier.java,1,100,66,16,6,15,20,12,10,3,8,0.325,,,
OutlierList.java,1,93,0,4,0,26,0,11,0,9,0,0,,,
OutlierListCollection.java,1,66,24,8,0,18,8,8,4,4,4,0.0625,,,
OverLIBToolTipTagFragmentGenerator.java,1,0,15,0,0,0,4,0,2,0,2,1,,,
Overlay.java,0,,,,,,,,,,,,,,
OverlayChangeEvent.java,1,0,4,0,0,0,2,0,1,0,1,,,,
OverlayChangeListener.java,0,,,,,,,,,,,,,,
PaintAlpha.java,3,472,0,38,0,92,0,29,0,10,0,0,,,
PaintList.java,2,12,99,5,13,5,30,6,10,1,6,0.633333333,,,
PaintMap.java,1,17,164,0,14,4,50,2,15,2,8,0.733333333,,,
PaintSample.java,1,90,0,0,0,22,0,5,0,5,0,0,,,
PaintScale.java,0,,,,,,,,,,,,,,
PaintScaleLegend.java,2,750,314,68,24,138,91,49,27,13,17,0.174418605,,,
PaintUtils.java,4,217,75,58,20,48,18,35,7,2,1,0.310344828,,,
Pannable.java,0,,,,,,,,,,,,,,
PeriodAxis.java,2,1257,486,113,25,258,129,82,33,24,22,0.135849057,,,
PeriodAxisLabelInfo.java,1,31,257,2,18,11,65,10,17,8,9,0.530612245,,,
PieDataset.java,0,,,,,,,,,,,,,,
PieDatasetHandler.java,1,72,0,8,0,20,0,9,0,5,0,0,,,
PieLabelDistributor.java,2,107,227,13,21,22,50,10,16,2,7,0.134146341,,,
PieLabelLinkStyle.java,1,0,34,0,0,0,4,0,1,0,1,,,,
PieLabelRecord.java,1,38,157,7,19,10,45,10,19,4,12,0.452380952,,,
PiePlot.java,2,979,2766,126,218,224,746,130,174,33,99,0.268833087,,,
PiePlot3D.java,7,905,1124,89,59,248,262,56,30,2,10,0.053908356,,,
PiePlotState.java,1,0,80,0,0,0,34,0,21,0,21,0.2,,,
PieSectionEntity.java,1,54,77,2,10,12,26,8,10,6,6,0.6,,,
PieSectionLabelGenerator.java,0,,,,,,,,,,,,,,
PieToolTipGenerator.java,0,,,,,,,,,,,,,,
PieURLGenerator.java,0,,,,,,,,,,,,,,
PinNeedle.java,2,128,18,9,3,25,6,8,3,2,3,0.121212121,,,
Plot.java,2,386,779,88,86,116,242,87,72,21,48,0.392156863,,,
PlotChangeEvent.java,1,3,7,0,0,1,3,1,1,1,1,0,,,
PlotChangeListener.java,0,,,,,,,,,,,,,,
PlotEntity.java,1,111,12,12,0,34,4,15,1,9,1,0,,,
PlotOrientation.java,1,0,32,0,0,0,5,0,3,0,3,0.25,,,
PlotRenderingInfo.java,1,45,147,9,11,11,42,8,16,1,13,0.6875,,,
PlotState.java,1,0,11,0,0,0,4,0,2,0,2,1,,,
PlumNeedle.java,2,84,18,7,3,19,6,7,3,2,3,0.16,,,
PointerNeedle.java,2,139,18,13,3,36,6,10,3,2,3,0.108108108,,,
PolarAxisLocation.java,1,0,84,0,0,0,9,0,1,0,1,,,,
PolarChartPanel.java,2,243,0,24,0,72,0,19,0,7,0,0,,,
PolarItemRenderer.java,0,,,,,,,,,,,,,,
PolarPlot.java,2,1190,1099,178,104,313,302,158,77,53,41,0.270334928,,,
PolynomialFunction2D.java,1,27,38,3,1,5,10,3,5,1,5,0.5,,,
PowerFunction2D.java,1,12,51,2,4,3,16,3,6,1,5,0.583333333,,,
PublicCloneable.java,0,,,,,,,,,,,,,,
Quarter.java,1,86,380,16,18,18,76,15,24,2,20,0.695652174,,,
QuarterDateFormat.java,1,69,116,4,6,19,21,7,6,4,4,0.533333333,,,
Range.java,2,46,421,8,64,7,93,9,50,2,21,0.714285714,,,
RangeInfo.java,0,,,,,,,,,,,,,,
RangeType.java,1,0,34,0,0,0,4,0,1,0,1,,,,
RectangleAnchor.java,5,153,192,23,13,21,32,15,6,0,3,0.083333333,,,
RectangleConstraint.java,1,27,313,6,22,4,62,7,27,1,19,0.735294118,,,
RectangleEdge.java,2,24,74,9,9,9,10,9,8,1,4,0.357142857,,,
RectangleInsets.java,2,400,315,42,22,70,81,36,26,7,23,0.122302158,,,
Regression.java,6,526,432,50,12,82,92,30,8,3,4,0.446700508,,,
RegularTimePeriod.java,2,41,129,10,10,12,26,8,11,1,8,0.575757576,,,
RelativeDateFormat.java,1,46,437,8,32,17,117,15,33,7,21,0.516853933,,,
RendererChangeEvent.java,1,0,21,0,0,0,8,0,4,0,4,0.333333333,,,
RendererChangeListener.java,0,,,,,,,,,,,,,,
RendererState.java,1,0,35,0,4,0,14,0,7,0,5,0.333333333,,,
RendererUtils.java,10,17,368,6,56,5,97,7,28,1,3,0.686868687,,,
ResourceBundleWrapper.java,1,58,5,7,1,13,2,7,1,3,1,0.2,,,
RingPlot.java,2,422,262,45,25,111,90,37,28,14,16,0.25210084,,,
RootHandler.java,1,54,0,8,0,18,0,10,0,6,0,0,,,
Rotation.java,1,0,37,0,0,0,7,0,3,0,3,0,,,
SamplingXYLineRenderer.java,2,325,0,28,0,83,0,22,0,8,0,0,,,
ScatterRenderer.java,2,374,150,47,15,96,53,37,18,12,12,0.22826087,,,
Second.java,1,184,284,32,10,45,62,22,18,3,16,0.384615385,,,
SerialDate.java,3,410,421,56,19,106,44,59,17,25,9,0.257575758,,,
SerialUtils.java,5,196,760,29,79,43,238,29,40,0,13,0.88028169,,,
Series.java,1,38,224,7,13,13,62,11,21,5,17,0.613636364,,,
SeriesChangeEvent.java,1,0,4,0,0,0,2,0,1,0,1,,,,
SeriesChangeListener.java,0,,,,,,,,,,,,,,
SeriesDataset.java,0,,,,,,,,,,,,,,
SeriesException.java,1,0,4,0,0,0,2,0,1,0,1,,,,
SeriesRenderingOrder.java,1,0,24,0,0,0,3,0,1,0,1,,,,
ShadowGenerator.java,0,,,,,,,,,,,,,,
ShapeList.java,2,38,74,8,8,11,23,7,9,1,7,0.379310345,,,
ShapeUtils.java,2,642,254,76,48,132,65,63,21,11,11,0.196226415,,,
ShipNeedle.java,2,84,20,8,4,16,6,8,3,2,3,0.227272727,,,
ShortTextTitle.java,3,289,12,43,1,62,4,28,2,6,2,0,,,
SimpleHistogramBin.java,2,92,197,15,39,16,54,12,27,1,11,0.582278481,,,
SimpleHistogramDataset.java,1,180,179,15,17,39,48,31,13,18,10,0.28125,,,
SimpleTimePeriod.java,2,17,150,4,18,6,40,6,14,2,7,0.772727273,,,
Size2D.java,1,59,20,8,0,16,8,9,4,5,4,0.153846154,,,
SlidingCategoryDataset.java,1,86,209,8,24,17,53,15,21,7,13,0.650793651,,,
SlidingGanttCategoryDataset.java,1,501,166,41,19,78,44,48,15,23,10,0.244897959,,,
SortOrder.java,1,0,24,0,0,0,3,0,1,0,1,,,,
SpiderWebPlot.java,2,241,1451,44,102,67,390,56,86,19,50,0.356037152,,,
SpreadsheetDate.java,1,172,242,42,22,28,52,36,16,10,10,0.431192661,,,
StackedAreaRenderer.java,3,761,46,57,7,160,18,36,7,6,5,0.060150376,,,
StackedBarRenderer.java,4,380,68,77,7,89,24,43,8,3,6,0.094117647,,,
StackedXYAreaRenderer.java,2,220,415,49,39,52,112,35,25,2,14,0.232142857,,,
StackedXYAreaRenderer2.java,3,788,130,54,14,164,37,33,13,4,8,0.12804878,,,
StackedXYBarRenderer.java,4,426,80,78,8,94,25,45,8,4,6,0.105882353,,,
StandardBarPainter.java,3,198,17,31,3,54,8,19,4,3,3,0.085106383,,,
StandardCategoryItemLabelGenerator.java,1,6,39,0,4,2,14,1,8,1,6,0.875,,,
StandardCategorySeriesLabelGenerator.java,1,2,71,1,5,1,24,1,9,0,7,0.692307692,,,
StandardCategoryToolTipGenerator.java,1,8,31,1,3,2,12,2,6,1,5,0.625,,,
StandardCategoryURLGenerator.java,2,50,166,9,11,12,39,8,9,2,5,0.481481481,,,
StandardChartTheme.java,2,763,1232,93,117,215,368,112,85,46,46,0.298050139,,,
StandardCrosshairLabelGenerator.java,1,38,49,4,8,10,17,7,6,3,4,0.6,,,
StandardDialFrame.java,1,102,194,2,12,24,53,9,15,7,10,0.363636364,,,
StandardDialRange.java,1,173,216,11,13,43,54,21,13,12,10,0.271428571,,,
StandardDialScale.java,1,422,559,29,41,95,142,46,38,27,22,0.315789474,,,
StandardEntityCollection.java,1,36,93,6,4,9,24,6,10,2,9,0.476190476,,,
StandardGradientPaintTransformer.java,2,121,45,10,8,25,16,8,8,2,5,0.5625,,,
StandardPieSectionLabelGenerator.java,1,28,88,1,5,8,27,5,10,4,8,0.5,,,
StandardPieToolTipGenerator.java,1,10,26,0,0,3,10,2,5,2,5,0.5,,,
StandardPieURLGenerator.java,2,28,127,3,11,5,35,3,10,0,6,0.8125,,,
StandardTickUnitSource.java,1,49,13,1,1,10,5,5,3,4,3,0.111111111,,,
StandardToolTipTagFragmentGenerator.java,1,0,15,0,0,0,3,0,2,0,2,1,,,
StandardURLTagFragmentGenerator.java,1,0,14,0,0,0,3,0,2,0,2,1,,,
StandardXYBarPainter.java,3,197,17,31,3,54,8,19,4,3,3,0.085106383,,,
StandardXYItemLabelGenerator.java,1,20,42,1,3,6,16,4,8,3,7,0.666666667,,,
StandardXYItemRenderer.java,2,354,598,74,66,79,171,66,38,9,25,0.314285714,,,
StandardXYSeriesLabelGenerator.java,1,2,71,1,5,1,24,1,9,0,7,0.692307692,,,
StandardXYToolTipGenerator.java,1,14,50,1,3,4,18,3,9,2,8,0.6,,,
StandardXYURLGenerator.java,2,57,64,8,6,9,20,7,5,1,4,0.411764706,,,
StandardXYZToolTipGenerator.java,1,113,85,8,8,25,27,10,8,5,5,0.346153846,,,
StandardXYZURLGenerator.java,1,9,0,0,0,2,0,2,0,2,0,0,,,
StatisticalBarRenderer.java,4,232,567,63,41,54,127,47,17,2,10,0.125,,,
StatisticalCategoryDataset.java,0,,,,,,,,,,,,,,
StatisticalLineAndShapeRenderer.java,3,207,401,36,40,43,103,35,15,3,9,0.144230769,,,
Statistics.java,3,276,396,25,43,50,98,19,29,4,10,0.57615894,,,
StringUtils.java,1,39,4,4,0,8,1,4,1,2,1,0,,,
StrokeChooserPanel.java,1,66,0,2,0,15,0,5,0,4,0,0,,,
StrokeList.java,1,40,53,9,5,12,19,8,7,1,7,0.407407407,,,
StrokeMap.java,1,21,158,0,14,6,45,3,14,3,7,0.724137931,,,
StrokeSample.java,1,168,0,4,0,37,0,8,0,6,0,0,,,
SubCategoryAxis.java,2,288,261,34,20,66,71,26,15,2,12,0.21686747,,,
SunJPEGEncoderAdapter.java,1,86,0,4,0,27,0,9,0,7,0,0,,,
SunPNGEncoderAdapter.java,1,32,0,0,0,12,0,7,0,7,0,0,,,
SymbolAxis.java,3,748,137,93,11,193,44,61,13,13,9,0.105960265,,,
SymbolicXYItemLabelGenerator.java,2,99,18,10,2,24,7,9,4,3,4,0.142857143,,,
TableOrder.java,1,0,24,0,0,0,3,0,1,0,1,,,,
TableXYDataset.java,0,,,,,,,,,,,,,,
Task.java,1,38,136,1,11,7,43,2,20,1,15,0.59375,,,
TaskSeries.java,1,34,95,2,10,10,30,6,11,4,7,0.615384615,,,
TaskSeriesCollection.java,1,65,599,11,49,21,161,14,54,5,33,0.739130435,,,
TextAnchor.java,1,8,268,22,38,0,24,21,18,0,9,0,,,
TextAnnotation.java,1,4,239,2,14,2,74,2,24,0,18,0.58490566,,,
TextBlock.java,2,41,307,20,28,9,68,18,20,2,12,0.232142857,,,
TextBlockAnchor.java,1,0,94,0,0,0,10,0,1,0,1,,,,
TextBox.java,1,179,310,30,16,43,78,35,13,13,12,0.24691358,,,
TextFragment.java,2,68,200,17,15,16,52,16,16,2,14,0.361702128,,,
TextLine.java,2,57,219,12,16,15,61,13,14,2,11,0.352941176,,,
TextMeasurer.java,0,,,,,,,,,,,,,,
TextTitle.java,2,507,592,94,56,113,160,72,40,12,25,0.288461538,,,
TextUtils.java,3,294,808,55,69,69,189,53,32,8,15,0.104712042,,,
ThermometerPlot.java,2,1186,761,118,74,252,188,125,45,48,25,0.232492997,,,
Tick.java,1,7,82,2,10,3,26,3,11,1,7,0.666666667,,,
TickLabelEntity.java,1,0,6,0,0,0,2,0,1,0,1,,,,
TickType.java,1,0,24,0,0,0,3,0,1,0,1,,,,
TickUnit.java,2,12,86,5,11,5,26,6,10,1,7,0.25,,,
TickUnitSource.java,0,,,,,,,,,,,,,,
TickUnits.java,1,46,85,5,5,11,22,7,7,3,6,0.4,,,
TimePeriod.java,0,,,,,,,,,,,,,,
TimePeriodAnchor.java,1,0,34,0,0,0,4,0,1,0,1,,,,
TimePeriodFormatException.java,1,0,4,0,0,0,2,0,1,0,1,,,,
TimePeriodValue.java,2,58,70,11,9,9,22,10,9,2,7,0.47826087,,,
TimePeriodValues.java,2,95,488,8,44,16,142,7,46,1,26,0.612612613,,,
TimePeriodValuesCollection.java,1,240,213,21,17,59,62,28,14,14,9,0.362318841,,,
TimeSeries.java,2,276,1287,42,150,68,336,45,109,8,50,0.71942446,,,
TimeSeriesCollection.java,1,146,571,21,47,35,149,25,47,9,29,0.536082474,,,
TimeSeriesDataItem.java,1,8,92,3,9,4,27,3,12,0,9,0.6,,,
TimeSeriesTableModel.java,2,143,0,32,0,51,0,27,0,11,0,0,,,
TimeSeriesURLGenerator.java,2,32,193,5,15,9,44,9,9,4,4,0.653846154,,,
TimeTableXYDataset.java,1,272,167,26,12,63,48,35,17,19,14,0.25974026,,,
Timeline.java,0,,,,,,,,,,,,,,
Title.java,1,29,270,9,19,10,78,12,24,4,18,0.516666667,,,
TitleChangeEvent.java,1,3,7,0,0,1,3,1,1,1,1,0,,,
TitleChangeListener.java,0,,,,,,,,,,,,,,
TitleEntity.java,1,98,25,12,0,30,8,13,3,7,3,0,,,
ToolTipTagFragmentGenerator.java,0,,,,,,,,,,,,,,
UIUtils.java,1,203,0,6,0,47,0,12,0,9,0,0,,,
URLTagFragmentGenerator.java,0,,,,,,,,,,,,,,
URLUtilities.java,4,54,0,0,0,15,0,3,0,3,0,0,,,
UnitType.java,1,0,24,0,0,0,3,0,1,0,1,,,,
UnknownKeyException.java,1,0,4,0,0,0,2,0,1,0,1,,,,
Value.java,0,,,,,,,,,,,,,,
ValueAxis.java,2,570,1247,93,117,150,344,89,86,19,51,0.271641791,,,
ValueAxisPlot.java,0,,,,,,,,,,,,,,
ValueDataset.java,0,,,,,,,,,,,,,,
ValueHandler.java,1,100,0,8,0,27,0,10,0,6,0,0,,,
ValueMarker.java,1,11,57,1,7,3,19,2,8,1,5,0.909090909,,,
ValueTick.java,1,6,58,3,5,3,16,3,6,0,5,0.666666667,,,
Values.java,0,,,,,,,,,,,,,,
Values2D.java,0,,,,,,,,,,,,,,
Vector.java,1,26,73,2,6,5,19,5,6,3,4,0.32,,,
VectorDataItem.java,1,24,29,3,1,8,7,5,3,3,3,0.333333333,,,
VectorRenderer.java,5,503,37,44,4,114,11,27,3,3,3,0.072164948,,,
VectorSeries.java,1,16,58,0,0,4,16,2,8,2,8,0.555555556,,,
VectorSeriesCollection.java,1,130,89,5,7,28,27,14,10,10,8,0.342105263,,,
VectorXYDataset.java,0,,,,,,,,,,,,,,
VerticalAlignment.java,1,0,34,0,0,0,4,0,1,0,1,,,,
WaferMapDataset.java,1,211,0,20,0,55,0,29,0,19,0,0,,,
WaferMapPlot.java,2,581,0,44,0,131,0,36,0,14,0,0,,,
WaferMapRenderer.java,2,474,0,56,0,120,0,44,0,15,0,0,,,
WaterfallBarRenderer.java,2,287,308,41,21,75,75,28,18,5,10,0.225806452,,,
Week.java,2,296,305,41,21,79,78,33,22,9,15,0.457943925,,,
WindDataset.java,0,,,,,,,,,,,,,,
WindItemRenderer.java,1,252,6,0,0,45,3,1,2,1,2,0.028571429,,,
WindNeedle.java,2,69,18,8,4,17,6,8,2,2,2,0.210526316,,,
XIntervalDataItem.java,1,6,44,3,3,3,12,3,5,0,5,0.7,,,
XIntervalSeries.java,1,0,64,0,0,0,17,0,9,0,9,1,,,
XIntervalSeriesCollection.java,1,166,80,5,3,37,24,17,7,14,6,0.25,,,
XYAnnotation.java,0,,,,,,,,,,,,,,
XYAnnotationBoundsInfo.java,0,,,,,,,,,,,,,,
XYAnnotationEntity.java,2,44,0,8,0,16,0,8,0,4,0,0,,,
XYAreaRenderer.java,3,317,570,45,51,67,162,35,35,2,20,0.264705882,,,
XYAreaRenderer2.java,2,146,405,22,18,32,106,19,13,1,11,0.277227723,,,
XYBarDataset.java,1,100,110,8,6,23,27,16,13,10,12,0.243902439,,,
XYBarPainter.java,0,,,,,,,,,,,,,,
XYBarRenderer.java,2,982,400,173,37,221,131,110,40,18,27,0.219626168,,,
XYBlockRenderer.java,2,393,215,38,26,90,62,35,16,9,10,0.290909091,,,
XYBoxAndWhiskerRenderer.java,2,741,515,62,30,130,123,47,22,5,18,0.114537445,,,
XYBoxAnnotation.java,2,49,276,12,18,12,66,14,10,2,7,0.368421053,,,
XYBubbleRenderer.java,4,292,138,35,12,62,39,25,6,2,5,0.3,,,
XYCoordinate.java,2,72,75,11,7,17,20,10,7,4,4,0.264705882,,,
XYCoordinateType.java,1,0,34,0,0,0,4,0,1,0,1,,,,
XYCrosshairState.java,1,3,0,0,0,2,0,1,0,1,0,,,,
XYDataImageAnnotation.java,1,289,0,26,0,75,0,29,0,16,0,0,,,
XYDataItem.java,1,26,127,4,12,6,39,5,16,1,12,0.689655172,,,
XYDataset.java,0,,,,,,,,,,,,,,
XYDatasetTableModel.java,1,99,0,14,0,32,0,17,0,10,0,0,,,
XYDifferenceRenderer.java,3,1670,255,205,19,383,79,120,17,13,12,0.093023256,,,
XYDomainInfo.java,0,,,,,,,,,,,,,,
XYDotRenderer.java,2,146,178,18,16,31,58,17,13,3,10,0.425925926,,,
XYDrawableAnnotation.java,2,136,155,8,14,23,37,7,10,1,5,0.280701754,,,
XYErrorRenderer.java,2,350,141,26,14,65,48,21,16,6,11,0.2375,,,
XYImageAnnotation.java,1,231,0,22,0,67,0,23,0,12,0,0,,,
XYInterval.java,2,4,84,2,12,2,26,2,12,0,7,0.9,,,
XYIntervalDataItem.java,1,10,64,5,5,5,18,5,7,0,7,0.6875,,,
XYIntervalSeries.java,1,0,82,0,0,0,21,0,11,0,11,1,,,
XYIntervalSeriesCollection.java,1,75,167,5,7,18,41,10,18,7,15,0.5,,,
XYItemEntity.java,1,35,54,2,8,8,18,7,7,5,4,0.642857143,,,
XYItemKey.java,1,139,0,10,0,36,0,13,0,8,0,0,,,
XYItemLabelGenerator.java,0,,,,,,,,,,,,,,
XYItemRenderer.java,0,,,,,,,,,,,,,,
XYItemRendererState.java,1,6,27,0,0,2,11,2,5,2,5,0,,,
XYLineAndShapeRenderer.java,2,235,805,60,76,54,222,59,53,7,37,0.327777778,,,
XYLineAnnotation.java,2,157,171,14,14,36,44,11,11,2,6,0.4,,,
XYPlot.java,2,1786,4761,333,533,446,1261,294,370,50,181,0.367768595,,,
XYPointerAnnotation.java,1,311,300,12,18,67,81,16,22,9,14,0.198412698,,,
XYPolygonAnnotation.java,2,212,144,21,13,45,39,20,10,7,6,0.317460317,,,
XYRangeInfo.java,0,,,,,,,,,,,,,,
XYSeries.java,2,108,880,23,101,28,226,26,81,5,40,0.636842105,,,
XYSeriesCollection.java,2,110,598,20,62,32,158,17,61,3,34,0.6796875,,,
XYSeriesLabelGenerator.java,0,,,,,,,,,,,,,,
XYShapeAnnotation.java,2,193,145,14,12,44,40,12,10,3,6,0.314814815,,,
XYShapeRenderer.java,2,283,226,35,23,71,74,31,23,11,14,0.307692308,,,
XYSplineRenderer.java,3,757,79,60,10,124,29,39,9,7,6,0.072847682,,,
XYStepAreaRenderer.java,3,161,484,48,50,35,130,39,30,1,19,0.230769231,,,
XYStepRenderer.java,3,125,264,21,29,21,62,17,17,0,9,0.215384615,,,
XYTaskDataset.java,1,272,84,17,9,57,29,34,10,24,7,0.166666667,,,
XYTextAnnotation.java,1,57,486,6,32,19,141,12,39,6,26,0.364485981,,,
XYTitleAnnotation.java,2,126,310,23,21,37,73,28,9,9,6,0.266666667,,,
XYToolTipGenerator.java,0,,,,,,,,,,,,,,
XYURLGenerator.java,0,,,,,,,,,,,,,,
XYZDataset.java,0,,,,,,,,,,,,,,
XYZToolTipGenerator.java,0,,,,,,,,,,,,,,
XYZURLGenerator.java,0,,,,,,,,,,,,,,
XisSymbolic.java,0,,,,,,,,,,,,,,
YInterval.java,2,4,56,2,8,2,18,2,8,0,5,0.857142857,,,
YIntervalDataItem.java,1,6,44,3,3,3,12,3,5,0,5,0.7,,,
YIntervalRenderer.java,2,250,41,18,4,60,14,13,6,3,5,0.225806452,,,
YIntervalSeries.java,1,0,64,0,0,0,17,0,9,0,9,1,,,
YIntervalSeriesCollection.java,1,85,146,5,3,21,36,10,14,7,13,0.444444444,,,
YWithXInterval.java,2,4,56,2,8,2,18,2,8,0,5,0.857142857,,,
Year.java,1,32,197,5,13,7,54,5,22,1,17,0.85,,,
YisSymbolic.java,0,,,,,,,,,,,,,,
Zoomable.java,0,,,,,,,,,,,,,,
