CLASS,AvgCyclomatic,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,mutation
ConfigurationNodeIteratorBase.java,1,0.0,127.0,2.0,14.0,0.0,24.0,2.0,18.0,0.0,12.0,0.9285714290000001
ConfigurationNodeIteratorChildren.java,3,0.0,194.0,0.0,30.0,0.0,50.0,0.0,22.0,0.0,7.0,1.0
ConfigurationNodePointer.java,1,4.0,135.0,1.0,11.0,2.0,35.0,2.0,22.0,1.0,17.0,0.791666667
ConfigurationNodePointerFactory.java,1,18.0,28.0,2.0,2.0,5.0,8.0,2.0,5.0,1.0,4.0,0.625
ConfigurationNodeVisitor.java,0,,,,,,,,,,,
ConfigurationNodeVisitorAdapter.java,1,1.0,6.0,0.0,0.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0
ConfigurationPropertiesFactoryBean.java,1,11.0,150.0,1.0,19.0,5.0,30.0,5.0,19.0,4.0,10.0,0.684210526
ConfigurationPropertySource.java,1,29.0,11.0,2.0,0.0,7.0,3.0,3.0,2.0,2.0,2.0,0.333333333
ConfigurationRuntimeException.java,1,0.0,22.0,0.0,0.0,0.0,10.0,0.0,5.0,0.0,5.0,
ConfigurationUtils.java,1,36.0,371.0,1.0,33.0,11.0,97.0,4.0,38.0,3.0,22.0,0.8888888890000001
ConfigurationXMLReader.java,1,24.0,110.0,1.0,13.0,14.0,41.0,10.0,20.0,9.0,14.0,0.842105263
Configurations.java,1,0.0,269.0,0.0,2.0,0.0,44.0,0.0,42.0,0.0,41.0,1.0
ConstantLookup.java,2,0.0,109.0,1.0,7.0,0.0,32.0,1.0,9.0,0.0,6.0,0.818181818
ConstructorArg.java,1,3.0,112.0,1.0,11.0,0.0,26.0,1.0,16.0,0.0,11.0,1.0
ConversionException.java,1,7.0,9.0,0.0,0.0,4.0,4.0,2.0,2.0,2.0,2.0,
ConversionHandler.java,0,,,,,,,,,,,
CopyObjectDefaultHandler.java,1,0.0,33.0,0.0,2.0,0.0,13.0,0.0,4.0,0.0,3.0,1.0
DataConfiguration.java,1,22.0,714.0,2.0,10.0,3.0,135.0,4.0,100.0,2.0,96.0,0.894308943
DatabaseBuilderParameters.java,0,,,,,,,,,,,
DatabaseBuilderParametersImpl.java,1,0.0,46.0,0.0,0.0,0.0,15.0,0.0,8.0,0.0,8.0,1.0
DatabaseBuilderProperties.java,0,,,,,,,,,,,
DatabaseConfiguration.java,1,36.0,214.0,0.0,18.0,12.0,62.0,6.0,30.0,6.0,21.0,0.484848485
DefaultBeanFactory.java,1,7.0,257.0,3.0,27.0,0.0,66.0,3.0,28.0,0.0,16.0,1.0
DefaultConfigurationKey.java,1,2.0,497.0,5.0,83.0,1.0,119.0,5.0,67.0,0.0,28.0,0.830188679
DefaultConversionHandler.java,1,0.0,304.0,0.0,46.0,0.0,67.0,0.0,41.0,0.0,18.0,0.977777778
DefaultEntityResolver.java,2,40.0,25.0,3.0,3.0,12.0,8.0,3.0,4.0,1.0,3.0,0.28571428600000004
DefaultExpressionEngine.java,2,0.0,342.0,1.0,43.0,0.0,73.0,1.0,35.0,0.0,14.0,0.975609756
DefaultExpressionEngineSymbols.java,1,0.0,166.0,0.0,4.0,0.0,45.0,0.0,14.0,0.0,12.0,0.9523809520000001
DefaultFileSystem.java,2,106.0,192.0,8.0,30.0,18.0,56.0,9.0,20.0,2.0,8.0,0.583333333
DefaultListDelimiterHandler.java,3,0.0,169.0,0.0,26.0,0.0,44.0,0.0,18.0,0.0,5.0,1.0
DefaultLookups.java,1,0.0,293.0,0.0,0.0,0.0,34.0,0.0,4.0,0.0,4.0,1.0
DefaultParametersHandler.java,0,,,,,,,,,,,
DefaultParametersManager.java,1,0.0,93.0,0.0,12.0,0.0,25.0,0.0,12.0,0.0,6.0,1.0
DefaultReloadingDetectorFactory.java,2,0.0,24.0,0.0,2.0,0.0,6.0,0.0,3.0,0.0,2.0,0.666666667
DisabledListDelimiterHandler.java,1,0.0,26.0,0.0,0.0,0.0,7.0,0.0,5.0,0.0,5.0,1.0
DummyLookup.java,1,0.0,16.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,
DynamicCombinedConfiguration.java,1,392.0,465.0,25.0,27.0,83.0,124.0,68.0,43.0,50.0,35.0,0.417721519
EntityRegistry.java,0,,,,,,,,,,,
EntityResolverSupport.java,0,,,,,,,,,,,
EnvironmentConfiguration.java,1,0.0,22.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,4.0,
EnvironmentLookup.java,1,6.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0
Event.java,1,0.0,75.0,0.0,2.0,0.0,16.0,0.0,6.0,0.0,5.0,1.0
EventListener.java,0,,,,,,,,,,,
EventListenerList.java,1,0.0,176.0,1.0,21.0,0.0,45.0,1.0,24.0,0.0,14.0,0.916666667
EventListenerParameters.java,1,0.0,26.0,0.0,0.0,0.0,9.0,0.0,5.0,0.0,5.0,1.0
EventListenerProvider.java,0,,,,,,,,,,,
EventListenerRegistrationData.java,1,16.0,55.0,1.0,11.0,4.0,16.0,2.0,9.0,1.0,4.0,0.7142857140000001
EventSource.java,0,,,,,,,,,,,
EventType.java,1,0.0,64.0,0.0,6.0,0.0,20.0,0.0,9.0,0.0,6.0,1.0
